O*NET-SOC Code,Skill,Importance,Title
29-1224.00,Instructing,3.62,Radiologists
11-9199.09,Persuasion,3.62,Wind Energy Operations Managers
13-2099.04,Coordination,3.62,"Fraud Examiners, Investigators and Analysts"
25-1032.00,Active Learning,3.62,"Engineering Teachers, Postsecondary"
29-2099.08,Critical Thinking,3.62,Patient Representatives
27-3091.00,Monitoring,3.62,Interpreters and Translators
27-3043.00,Time Management,3.62,Writers and Authors
11-3051.02,Complex Problem Solving,3.62,Geothermal Production Managers
25-9031.00,Time Management,3.62,Instructional Coordinators
11-3051.03,Coordination,3.62,Biofuels Production Managers
25-3021.00,Speaking,3.62,Self-Enrichment Teachers
11-3051.01,Active Learning,3.62,Quality Control Systems Managers
29-2099.08,Persuasion,3.62,Patient Representatives
33-3051.00,Persuasion,3.62,Police and Sheriff's Patrol Officers
41-3031.00,Judgment and Decision Making,3.62,"Securities, Commodities, and Financial Services Sales Agents"
47-1011.00,Management of Personnel Resources,3.62,First-Line Supervisors of Construction Trades and Extraction Workers
39-5012.00,Service Orientation,3.62,"Hairdressers, Hairstylists, and Cosmetologists"
41-3031.00,Monitoring,3.62,"Securities, Commodities, and Financial Services Sales Agents"
33-1012.00,Writing,3.62,First-Line Supervisors of Police and Detectives
19-2031.00,Writing,3.62,Chemists
53-2011.00,Complex Problem Solving,3.62,"Airline Pilots, Copilots, and Flight Engineers"
11-9171.00,Time Management,3.62,Funeral Home Managers
11-3121.00,Systems Analysis,3.62,Human Resources Managers
11-3131.00,Complex Problem Solving,3.62,Training and Development Managers
11-3121.00,Time Management,3.62,Human Resources Managers
29-1071.01,Judgment and Decision Making,3.62,Anesthesiologist Assistants
21-1094.00,Coordination,3.62,Community Health Workers
25-1031.00,Social Perceptiveness,3.62,"Architecture Teachers, Postsecondary"
17-3022.00,Mathematics,3.62,Civil Engineering Technologists and Technicians
11-3051.06,Complex Problem Solving,3.62,Hydroelectric Production Managers
17-3021.00,Speaking,3.62,Aerospace Engineering and Operations Technologists and Technicians
27-3043.00,Critical Thinking,3.62,Writers and Authors
51-3091.00,Operations Monitoring,3.62,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
49-2097.00,Quality Control Analysis,3.62,Audiovisual Equipment Installers and Repairers
25-1031.00,Complex Problem Solving,3.62,"Architecture Teachers, Postsecondary"
11-3121.00,Persuasion,3.62,Human Resources Managers
21-1093.00,Critical Thinking,3.62,Social and Human Service Assistants
25-1021.00,Social Perceptiveness,3.62,"Computer Science Teachers, Postsecondary"
51-9082.00,Reading Comprehension,3.62,Medical Appliance Technicians
39-9011.01,Complex Problem Solving,3.62,Nannies
49-2097.00,Repairing,3.62,Audiovisual Equipment Installers and Repairers
51-9082.00,Speaking,3.62,Medical Appliance Technicians
53-6051.00,Reading Comprehension,3.62,Transportation Inspectors
43-4131.00,Writing,3.62,Loan Interviewers and Clerks
47-5012.00,Operation and Control,3.62,"Rotary Drill Operators, Oil and Gas"
17-3024.00,Quality Control Analysis,3.62,Electro-Mechanical and Mechatronics Technologists and Technicians
49-2097.00,Troubleshooting,3.62,Audiovisual Equipment Installers and Repairers
47-5012.00,Operations Monitoring,3.62,"Rotary Drill Operators, Oil and Gas"
51-6061.00,Operations Monitoring,3.62,Textile Bleaching and Dyeing Machine Operators and Tenders
11-9131.00,Negotiation,3.62,Postmasters and Mail Superintendents
25-1122.00,Complex Problem Solving,3.62,"Communications Teachers, Postsecondary"
33-3051.04,Monitoring,3.62,Customs and Border Protection Officers
13-1041.06,Social Perceptiveness,3.62,Coroners
11-9199.09,Coordination,3.62,Wind Energy Operations Managers
29-2099.05,Social Perceptiveness,3.62,Ophthalmic Medical Technologists
41-3021.00,Persuasion,3.62,Insurance Sales Agents
13-2099.01,Judgment and Decision Making,3.62,Financial Quantitative Analysts
11-3121.00,Monitoring,3.62,Human Resources Managers
17-3024.01,Quality Control Analysis,3.62,Robotics Technicians
33-3051.00,Reading Comprehension,3.62,Police and Sheriff's Patrol Officers
33-1012.00,Judgment and Decision Making,3.62,First-Line Supervisors of Police and Detectives
25-1124.00,Monitoring,3.62,"Foreign Language and Literature Teachers, Postsecondary"
17-3012.00,Active Listening,3.62,Electrical and Electronics Drafters
25-1121.00,Social Perceptiveness,3.62,"Art, Drama, and Music Teachers, Postsecondary"
49-2096.00,Repairing,3.62,"Electronic Equipment Installers and Repairers, Motor Vehicles"
27-1024.00,Active Listening,3.62,Graphic Designers
53-6051.01,Writing,3.62,Aviation Inspectors
47-2071.00,Operations Monitoring,3.62,"Paving, Surfacing, and Tamping Equipment Operators"
33-3051.00,Judgment and Decision Making,3.62,Police and Sheriff's Patrol Officers
49-3041.00,Operation and Control,3.62,Farm Equipment Mechanics and Service Technicians
13-1131.00,Social Perceptiveness,3.62,Fundraisers
13-1041.06,Judgment and Decision Making,3.62,Coroners
17-3021.00,Active Listening,3.62,Aerospace Engineering and Operations Technologists and Technicians
29-1051.00,Time Management,3.62,Pharmacists
31-9097.00,Service Orientation,3.62,Phlebotomists
11-3051.04,Time Management,3.62,Biomass Power Plant Managers
11-3071.00,Management of Personnel Resources,3.58,"Transportation, Storage, and Distribution Managers"
11-9013.00,Active Listening,3.58,"Farmers, Ranchers, and Other Agricultural Managers"
17-3023.00,Reading Comprehension,3.56,Electrical and Electronic Engineering Technologists and Technicians
17-2111.00,Systems Evaluation,3.56,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2111.00,Complex Problem Solving,3.56,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
15-1299.02,Speaking,3.56,Geographic Information Systems Technologists and Technicians
43-4041.00,Critical Thinking,3.56,"Credit Authorizers, Checkers, and Clerks"
17-3011.00,Critical Thinking,3.56,Architectural and Civil Drafters
17-3026.01,Monitoring,3.56,Nanotechnology Engineering Technologists and Technicians
15-1299.02,Complex Problem Solving,3.56,Geographic Information Systems Technologists and Technicians
17-3026.01,Active Listening,3.56,Nanotechnology Engineering Technologists and Technicians
11-3071.00,Judgment and Decision Making,3.54,"Transportation, Storage, and Distribution Managers"
11-3071.00,Time Management,3.54,"Transportation, Storage, and Distribution Managers"
17-2199.10,Mathematics,3.5,Wind Energy Engineers
47-5032.00,Operations Monitoring,3.5,"Explosives Workers, Ordnance Handling Experts, and Blasters"
49-2011.00,Critical Thinking,3.5,"Computer, Automated Teller, and Office Machine Repairers"
43-5061.00,Active Listening,3.5,"Production, Planning, and Expediting Clerks"
19-2041.00,Monitoring,3.5,"Environmental Scientists and Specialists, Including Health"
29-2034.00,Service Orientation,3.5,Radiologic Technologists and Technicians
39-2011.00,Speaking,3.5,Animal Trainers
27-3023.00,Active Learning,3.5,"News Analysts, Reporters, and Journalists"
13-1199.06,Critical Thinking,3.5,Online Merchants
47-4091.00,Speaking,3.5,Segmental Pavers
29-2033.00,Monitoring,3.5,Nuclear Medicine Technologists
43-6013.00,Reading Comprehension,3.5,Medical Secretaries and Administrative Assistants
17-2112.03,Time Management,3.5,Manufacturing Engineers
39-5091.00,Speaking,3.5,"Makeup Artists, Theatrical and Performance"
19-1013.00,Systems Analysis,3.5,Soil and Plant Scientists
29-2011.01,Judgment and Decision Making,3.5,Cytogenetic Technologists
11-1021.00,Active Learning,3.5,General and Operations Managers
43-6014.00,Time Management,3.5,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
19-1013.00,Systems Evaluation,3.5,Soil and Plant Scientists
27-2041.00,Reading Comprehension,3.5,Music Directors and Composers
49-3023.00,Operations Monitoring,3.5,Automotive Service Technicians and Mechanics
39-1022.00,Reading Comprehension,3.5,First-Line Supervisors of Personal Service Workers
29-1292.00,Critical Thinking,3.5,Dental Hygienists
13-1199.06,Speaking,3.5,Online Merchants
49-3052.00,Equipment Maintenance,3.5,Motorcycle Mechanics
47-5011.00,Critical Thinking,3.5,"Derrick Operators, Oil and Gas"
51-8013.04,Equipment Maintenance,3.5,Hydroelectric Plant Technicians
49-3023.00,Critical Thinking,3.5,Automotive Service Technicians and Mechanics
29-1292.00,Speaking,3.5,Dental Hygienists
13-1075.00,Time Management,3.5,Labor Relations Specialists
19-2099.01,Monitoring,3.5,Remote Sensing Scientists and Technologists
27-2041.00,Critical Thinking,3.5,Music Directors and Composers
11-3051.02,Social Perceptiveness,3.5,Geothermal Production Managers
13-1081.00,Active Learning,3.5,Logisticians
43-9041.00,Time Management,3.5,Insurance Claims and Policy Processing Clerks
47-4091.00,Active Listening,3.5,Segmental Pavers
39-3093.00,Service Orientation,3.5,"Locker Room, Coatroom, and Dressing Room Attendants"
13-1199.06,Active Listening,3.5,Online Merchants
31-9099.02,Critical Thinking,3.5,Endoscopy Technicians
19-1031.00,Writing,3.5,Conservation Scientists
47-5032.00,Operation and Control,3.5,"Explosives Workers, Ordnance Handling Experts, and Blasters"
33-2022.00,Complex Problem Solving,3.5,Forest Fire Inspectors and Prevention Specialists
39-1013.00,Time Management,3.5,First-Line Supervisors of Gambling Services Workers
43-6014.00,Service Orientation,3.5,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
49-9043.00,Operation and Control,3.5,"Maintenance Workers, Machinery"
19-1031.00,Science,3.5,Conservation Scientists
19-1031.00,Critical Thinking,3.5,Conservation Scientists
11-3051.02,Active Learning,3.5,Geothermal Production Managers
27-4011.00,Reading Comprehension,3.5,Audio and Video Technicians
17-2112.03,Troubleshooting,3.5,Manufacturing Engineers
29-1224.00,Time Management,3.5,Radiologists
49-9011.00,Critical Thinking,3.5,Mechanical Door Repairers
25-1032.00,Science,3.5,"Engineering Teachers, Postsecondary"
13-1075.00,Service Orientation,3.5,Labor Relations Specialists
47-5081.00,Operation and Control,3.5,Helpers--Extraction Workers
47-5081.00,Equipment Maintenance,3.5,Helpers--Extraction Workers
17-2111.02,Science,3.5,Fire-Prevention and Protection Engineers
29-1011.00,Service Orientation,3.5,Chiropractors
49-3041.00,Operations Monitoring,3.5,Farm Equipment Mechanics and Service Technicians
33-3021.00,Service Orientation,3.5,Detectives and Criminal Investigators
11-3031.03,Monitoring,3.5,Investment Fund Managers
27-2041.00,Judgment and Decision Making,3.5,Music Directors and Composers
39-2011.00,Learning Strategies,3.5,Animal Trainers
19-1029.01,Mathematics,3.5,Bioinformatics Scientists
17-3012.00,Writing,3.5,Electrical and Electronics Drafters
25-4012.00,Judgment and Decision Making,3.5,Curators
33-3012.00,Coordination,3.5,Correctional Officers and Jailers
25-1041.00,Coordination,3.5,"Agricultural Sciences Teachers, Postsecondary"
33-9032.00,Active Listening,3.5,Security Guards
43-4111.00,Reading Comprehension,3.5,"Interviewers, Except Eligibility and Loan"
17-3012.00,Critical Thinking,3.5,Electrical and Electronics Drafters
25-3011.00,Critical Thinking,3.5,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
11-9179.01,Writing,3.5,Fitness and Wellness Coordinators
13-2011.00,Judgment and Decision Making,3.5,Accountants and Auditors
13-1041.06,Coordination,3.5,Coroners
23-1012.00,Complex Problem Solving,3.5,Judicial Law Clerks
13-1074.00,Speaking,3.5,Farm Labor Contractors
25-1041.00,Science,3.5,"Agricultural Sciences Teachers, Postsecondary"
33-3021.00,Coordination,3.5,Detectives and Criminal Investigators
29-1011.00,Judgment and Decision Making,3.5,Chiropractors
29-1291.00,Speaking,3.5,Acupuncturists
31-9097.00,Social Perceptiveness,3.5,Phlebotomists
33-3021.00,Active Learning,3.5,Detectives and Criminal Investigators
11-9121.01,Management of Personnel Resources,3.5,Clinical Research Coordinators
49-9061.00,Critical Thinking,3.5,Camera and Photographic Equipment Repairers
25-4012.00,Active Learning,3.5,Curators
17-2111.00,Systems Analysis,3.5,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
11-3051.01,Time Management,3.5,Quality Control Systems Managers
11-2021.00,Coordination,3.5,Marketing Managers
51-9032.00,Quality Control Analysis,3.5,"Cutting and Slicing Machine Setters, Operators, and Tenders"
53-4031.00,Active Listening,3.5,Railroad Conductors and Yardmasters
17-3011.00,Reading Comprehension,3.5,Architectural and Civil Drafters
51-9162.00,Monitoring,3.5,Computer Numerically Controlled Tool Programmers
19-3022.00,Mathematics,3.5,Survey Researchers
19-1029.03,Social Perceptiveness,3.5,Geneticists
25-9021.00,Persuasion,3.5,Farm and Home Management Educators
49-3041.00,Critical Thinking,3.5,Farm Equipment Mechanics and Service Technicians
25-3011.00,Social Perceptiveness,3.5,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
19-1022.00,Complex Problem Solving,3.5,Microbiologists
19-2031.00,Speaking,3.5,Chemists
17-2112.01,Systems Evaluation,3.5,Human Factors Engineers and Ergonomists
23-1011.00,Systems Analysis,3.5,Lawyers
51-8013.04,Monitoring,3.5,Hydroelectric Plant Technicians
17-2199.10,Judgment and Decision Making,3.5,Wind Energy Engineers
31-9096.00,Active Listening,3.5,Veterinary Assistants and Laboratory Animal Caretakers
43-5031.00,Service Orientation,3.5,Public Safety Telecommunicators
13-1075.00,Active Learning,3.5,Labor Relations Specialists
49-3051.00,Operations Monitoring,3.5,Motorboat Mechanics and Service Technicians
53-7031.00,Operations Monitoring,3.5,Dredge Operators
13-1075.00,Monitoring,3.5,Labor Relations Specialists
11-9041.01,Systems Evaluation,3.5,Biofuels/Biodiesel Technology and Product Development Managers
19-2099.01,Systems Evaluation,3.5,Remote Sensing Scientists and Technologists
19-2099.01,Judgment and Decision Making,3.5,Remote Sensing Scientists and Technologists
27-3011.00,Social Perceptiveness,3.5,Broadcast Announcers and Radio Disc Jockeys
51-8093.00,Operation and Control,3.5,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
27-4032.00,Critical Thinking,3.5,Film and Video Editors
11-3051.03,Time Management,3.5,Biofuels Production Managers
13-1041.00,Writing,3.5,Compliance Officers
53-2021.00,Time Management,3.5,Air Traffic Controllers
11-9199.01,Complex Problem Solving,3.5,Regulatory Affairs Managers
43-3041.00,Mathematics,3.5,Gambling Cage Workers
17-2199.11,Complex Problem Solving,3.5,Solar Energy Systems Engineers
29-2033.00,Writing,3.5,Nuclear Medicine Technologists
33-3012.00,Reading Comprehension,3.5,Correctional Officers and Jailers
53-3011.00,Service Orientation,3.5,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
19-3011.01,Monitoring,3.5,Environmental Economists
51-8099.01,Reading Comprehension,3.5,Biofuels Processing Technicians
39-3093.00,Active Listening,3.5,"Locker Room, Coatroom, and Dressing Room Attendants"
19-3011.01,Speaking,3.5,Environmental Economists
51-9161.00,Operation and Control,3.5,Computer Numerically Controlled Tool Operators
17-3012.00,Judgment and Decision Making,3.5,Electrical and Electronics Drafters
31-9099.01,Social Perceptiveness,3.5,Speech-Language Pathology Assistants
17-2112.01,Active Learning,3.5,Human Factors Engineers and Ergonomists
17-2199.11,Speaking,3.5,Solar Energy Systems Engineers
31-2011.00,Time Management,3.5,Occupational Therapy Assistants
19-3011.00,Instructing,3.5,Economists
31-2012.00,Active Listening,3.5,Occupational Therapy Aides
49-3031.00,Operations Monitoring,3.5,Bus and Truck Mechanics and Diesel Engine Specialists
11-9151.00,Instructing,3.5,Social and Community Service Managers
49-2021.00,Repairing,3.5,"Radio, Cellular, and Tower Equipment Installers and Repairers"
21-2021.00,Service Orientation,3.5,"Directors, Religious Activities and Education"
27-4011.00,Critical Thinking,3.5,Audio and Video Technicians
53-3011.00,Critical Thinking,3.5,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
33-2011.00,Speaking,3.5,Firefighters
27-2012.05,Time Management,3.5,Media Technical Directors/Managers
33-2011.00,Active Listening,3.5,Firefighters
17-2151.00,Science,3.5,"Mining and Geological Engineers, Including Mining Safety Engineers"
43-4011.00,Time Management,3.5,Brokerage Clerks
17-2151.00,Active Learning,3.5,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-3027.00,Operations Monitoring,3.5,Mechanical Engineering Technologists and Technicians
49-9021.00,Critical Thinking,3.5,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
17-2151.00,Coordination,3.5,"Mining and Geological Engineers, Including Mining Safety Engineers"
11-9141.00,Critical Thinking,3.5,"Property, Real Estate, and Community Association Managers"
47-4041.00,Critical Thinking,3.5,Hazardous Materials Removal Workers
33-3051.00,Monitoring,3.5,Police and Sheriff's Patrol Officers
33-1021.00,Time Management,3.5,First-Line Supervisors of Firefighting and Prevention Workers
11-9161.00,Management of Personnel Resources,3.5,Emergency Management Directors
39-1022.00,Persuasion,3.5,First-Line Supervisors of Personal Service Workers
21-1023.00,Judgment and Decision Making,3.5,Mental Health and Substance Abuse Social Workers
47-4051.00,Operations Monitoring,3.5,Highway Maintenance Workers
29-1229.01,Instructing,3.5,Allergists and Immunologists
39-1022.00,Service Orientation,3.5,First-Line Supervisors of Personal Service Workers
17-3024.00,Operation and Control,3.5,Electro-Mechanical and Mechatronics Technologists and Technicians
27-4012.00,Monitoring,3.5,Broadcast Technicians
29-1213.00,Writing,3.5,Dermatologists
33-2011.00,Active Learning,3.5,Firefighters
25-3011.00,Active Learning,3.5,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
17-2141.02,Coordination,3.5,Automotive Engineers
43-4141.00,Reading Comprehension,3.5,New Accounts Clerks
11-9071.00,Complex Problem Solving,3.5,Gambling Managers
11-9141.00,Negotiation,3.5,"Property, Real Estate, and Community Association Managers"
17-2199.06,Active Learning,3.5,Microsystems Engineers
49-9021.00,Troubleshooting,3.5,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
43-4181.00,Reading Comprehension,3.5,Reservation and Transportation Ticket Agents and Travel Clerks
25-3041.00,Monitoring,3.5,Tutors
29-1141.04,Persuasion,3.5,Clinical Nurse Specialists
43-4171.00,Service Orientation,3.5,Receptionists and Information Clerks
11-3051.06,Writing,3.5,Hydroelectric Production Managers
43-9022.00,Reading Comprehension,3.5,Word Processors and Typists
19-1041.00,Mathematics,3.5,Epidemiologists
33-2011.00,Monitoring,3.5,Firefighters
17-3027.01,Critical Thinking,3.5,Automotive Engineering Technicians
17-3027.01,Speaking,3.5,Automotive Engineering Technicians
19-1041.00,Learning Strategies,3.5,Epidemiologists
51-8092.00,Critical Thinking,3.5,Gas Plant Operators
29-1141.04,Instructing,3.5,Clinical Nurse Specialists
21-2011.00,Complex Problem Solving,3.5,Clergy
11-9179.01,Management of Personnel Resources,3.5,Fitness and Wellness Coordinators
19-2041.01,Systems Analysis,3.5,Climate Change Policy Analysts
49-3092.00,Troubleshooting,3.5,Recreational Vehicle Service Technicians
43-4021.00,Judgment and Decision Making,3.5,Correspondence Clerks
19-2041.02,Active Learning,3.5,Environmental Restoration Planners
13-1121.00,Writing,3.5,"Meeting, Convention, and Event Planners"
39-5094.00,Service Orientation,3.5,Skincare Specialists
33-3031.00,Judgment and Decision Making,3.5,Fish and Game Wardens
33-9011.00,Critical Thinking,3.5,Animal Control Workers
19-2041.02,Science,3.5,Environmental Restoration Planners
27-4012.00,Operations Monitoring,3.5,Broadcast Technicians
19-2041.02,Systems Evaluation,3.5,Environmental Restoration Planners
49-2097.00,Complex Problem Solving,3.5,Audiovisual Equipment Installers and Repairers
51-8091.00,Critical Thinking,3.5,Chemical Plant and System Operators
19-2011.00,Learning Strategies,3.5,Astronomers
11-3031.00,Mathematics,3.5,Financial Managers
49-2096.00,Critical Thinking,3.5,"Electronic Equipment Installers and Repairers, Motor Vehicles"
31-9092.00,Service Orientation,3.5,Medical Assistants
13-1161.00,Active Learning,3.5,Market Research Analysts and Marketing Specialists
49-2097.00,Reading Comprehension,3.5,Audiovisual Equipment Installers and Repairers
11-9171.00,Coordination,3.5,Funeral Home Managers
31-9092.00,Monitoring,3.5,Medical Assistants
49-2096.00,Operations Monitoring,3.5,"Electronic Equipment Installers and Repairers, Motor Vehicles"
43-9031.00,Active Listening,3.5,Desktop Publishers
13-1111.00,Persuasion,3.5,Management Analysts
49-2095.00,Troubleshooting,3.5,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
31-9093.00,Critical Thinking,3.5,Medical Equipment Preparers
47-5012.00,Monitoring,3.5,"Rotary Drill Operators, Oil and Gas"
13-1121.00,Monitoring,3.5,"Meeting, Convention, and Event Planners"
17-2199.05,Speaking,3.5,Mechatronics Engineers
25-1051.00,Judgment and Decision Making,3.5,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
29-2034.00,Reading Comprehension,3.5,Radiologic Technologists and Technicians
17-3027.00,Writing,3.5,Mechanical Engineering Technologists and Technicians
29-1213.00,Monitoring,3.5,Dermatologists
13-1121.00,Persuasion,3.5,"Meeting, Convention, and Event Planners"
21-2011.00,Coordination,3.5,Clergy
29-2032.00,Critical Thinking,3.5,Diagnostic Medical Sonographers
33-1021.00,Complex Problem Solving,3.5,First-Line Supervisors of Firefighting and Prevention Workers
29-1224.00,Science,3.5,Radiologists
43-9031.00,Speaking,3.5,Desktop Publishers
21-1094.00,Complex Problem Solving,3.5,Community Health Workers
29-2032.00,Monitoring,3.5,Diagnostic Medical Sonographers
25-1011.00,Complex Problem Solving,3.5,"Business Teachers, Postsecondary"
39-5094.00,Active Listening,3.5,Skincare Specialists
17-2199.03,Systems Evaluation,3.5,"Energy Engineers, Except Wind and Solar"
33-1021.00,Instructing,3.5,First-Line Supervisors of Firefighting and Prevention Workers
17-2199.03,Judgment and Decision Making,3.5,"Energy Engineers, Except Wind and Solar"
13-1161.01,Writing,3.5,Search Marketing Strategists
43-4161.00,Writing,3.5,"Human Resources Assistants, Except Payroll and Timekeeping"
11-9121.00,Active Learning,3.5,Natural Sciences Managers
11-9121.00,Learning Strategies,3.5,Natural Sciences Managers
21-1094.00,Instructing,3.5,Community Health Workers
27-3043.05,Active Learning,3.5,"Poets, Lyricists and Creative Writers"
39-3012.00,Active Listening,3.5,Gambling and Sports Book Writers and Runners
33-3021.06,Active Learning,3.5,Intelligence Analysts
11-9179.02,Instructing,3.5,Spa Managers
29-1213.00,Complex Problem Solving,3.5,Dermatologists
43-3061.00,Judgment and Decision Making,3.5,Procurement Clerks
13-1081.00,Systems Analysis,3.5,Logisticians
51-9082.00,Social Perceptiveness,3.5,Medical Appliance Technicians
31-9092.00,Coordination,3.5,Medical Assistants
51-8093.00,Reading Comprehension,3.5,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
49-2022.00,Equipment Maintenance,3.5,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
33-1011.00,Writing,3.5,First-Line Supervisors of Correctional Officers
53-2012.00,Complex Problem Solving,3.5,Commercial Pilots
43-3071.00,Active Listening,3.5,Tellers
53-4013.00,Speaking,3.5,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
43-5011.01,Reading Comprehension,3.5,Freight Forwarders
21-2021.00,Learning Strategies,3.5,"Directors, Religious Activities and Education"
43-9041.00,Reading Comprehension,3.5,Insurance Claims and Policy Processing Clerks
21-2021.00,Active Learning,3.5,"Directors, Religious Activities and Education"
29-2033.00,Reading Comprehension,3.5,Nuclear Medicine Technologists
47-4021.00,Complex Problem Solving,3.5,Elevator and Escalator Installers and Repairers
29-2034.00,Speaking,3.5,Radiologic Technologists and Technicians
19-2043.00,Monitoring,3.5,Hydrologists
33-2021.00,Speaking,3.5,Fire Inspectors and Investigators
21-2021.00,Judgment and Decision Making,3.5,"Directors, Religious Activities and Education"
17-2121.00,Writing,3.5,Marine Engineers and Naval Architects
19-1031.02,Coordination,3.5,Range Managers
33-9021.00,Social Perceptiveness,3.5,Private Detectives and Investigators
17-2121.00,Monitoring,3.5,Marine Engineers and Naval Architects
29-1291.00,Judgment and Decision Making,3.5,Acupuncturists
17-3021.00,Complex Problem Solving,3.5,Aerospace Engineering and Operations Technologists and Technicians
19-2041.00,Coordination,3.5,"Environmental Scientists and Specialists, Including Health"
19-2043.00,Judgment and Decision Making,3.5,Hydrologists
51-9082.00,Operations Monitoring,3.5,Medical Appliance Technicians
43-5061.00,Time Management,3.5,"Production, Planning, and Expediting Clerks"
43-3061.00,Complex Problem Solving,3.5,Procurement Clerks
43-5011.01,Coordination,3.5,Freight Forwarders
51-9151.00,Operations Monitoring,3.5,Photographic Process Workers and Processing Machine Operators
11-1021.00,Judgment and Decision Making,3.5,General and Operations Managers
13-1131.00,Service Orientation,3.5,Fundraisers
49-2022.00,Active Listening,3.5,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
43-5011.01,Monitoring,3.5,Freight Forwarders
13-1041.04,Complex Problem Solving,3.5,Government Property Inspectors and Investigators
11-1021.00,Complex Problem Solving,3.5,General and Operations Managers
13-1199.05,Monitoring,3.5,Sustainability Specialists
33-2021.00,Critical Thinking,3.5,Fire Inspectors and Investigators
17-3031.00,Critical Thinking,3.5,Surveying and Mapping Technicians
49-9031.00,Speaking,3.5,Home Appliance Repairers
11-9179.02,Active Learning,3.5,Spa Managers
33-1011.00,Negotiation,3.5,First-Line Supervisors of Correctional Officers
13-1041.04,Active Learning,3.5,Government Property Inspectors and Investigators
49-2092.00,Operations Monitoring,3.5,"Electric Motor, Power Tool, and Related Repairers"
27-3031.00,Judgment and Decision Making,3.5,Public Relations Specialists
27-4011.00,Operations Monitoring,3.5,Audio and Video Technicians
29-2012.00,Reading Comprehension,3.5,Medical and Clinical Laboratory Technicians
11-3051.03,Judgment and Decision Making,3.5,Biofuels Production Managers
13-1199.04,Monitoring,3.5,Business Continuity Planners
17-2141.01,Mathematics,3.5,Fuel Cell Engineers
17-2199.07,Science,3.5,Photonics Engineers
33-3051.00,Service Orientation,3.5,Police and Sheriff's Patrol Officers
29-1223.00,Instructing,3.5,Psychiatrists
17-3023.00,Complex Problem Solving,3.5,Electrical and Electronic Engineering Technologists and Technicians
17-3029.01,Monitoring,3.5,Non-Destructive Testing Specialists
21-1094.00,Persuasion,3.5,Community Health Workers
17-2199.06,Time Management,3.5,Microsystems Engineers
17-2199.06,Systems Evaluation,3.5,Microsystems Engineers
17-3029.01,Active Listening,3.5,Non-Destructive Testing Specialists
27-2012.05,Complex Problem Solving,3.5,Media Technical Directors/Managers
43-4131.00,Complex Problem Solving,3.5,Loan Interviewers and Clerks
11-9071.00,Reading Comprehension,3.5,Gambling Managers
11-3031.00,Active Learning,3.5,Financial Managers
29-1141.04,Learning Strategies,3.5,Clinical Nurse Specialists
27-2032.00,Learning Strategies,3.5,Choreographers
39-6012.00,Coordination,3.5,Concierges
13-1051.00,Writing,3.5,Cost Estimators
17-3031.00,Reading Comprehension,3.5,Surveying and Mapping Technicians
49-9031.00,Quality Control Analysis,3.5,Home Appliance Repairers
49-2091.00,Complex Problem Solving,3.5,Avionics Technicians
33-2021.00,Writing,3.5,Fire Inspectors and Investigators
29-1171.00,Learning Strategies,3.5,Nurse Practitioners
25-2059.01,Coordination,3.5,Adapted Physical Education Specialists
51-8092.00,Quality Control Analysis,3.5,Gas Plant Operators
17-3029.08,Operations Monitoring,3.5,Photonics Technicians
31-9095.00,Active Listening,3.5,Pharmacy Aides
11-2011.00,Time Management,3.5,Advertising and Promotions Managers
39-4021.00,Social Perceptiveness,3.5,Funeral Attendants
11-9051.00,Time Management,3.5,Food Service Managers
43-5011.00,Active Listening,3.5,Cargo and Freight Agents
19-1032.00,Writing,3.5,Foresters
33-1011.00,Persuasion,3.5,First-Line Supervisors of Correctional Officers
33-3021.06,Complex Problem Solving,3.5,Intelligence Analysts
29-1223.00,Persuasion,3.5,Psychiatrists
49-9031.00,Operations Monitoring,3.5,Home Appliance Repairers
11-9121.01,Time Management,3.5,Clinical Research Coordinators
47-1011.03,Reading Comprehension,3.5,Solar Energy Installation Managers
41-4011.07,Social Perceptiveness,3.5,Solar Sales Representatives and Assessors
19-3092.00,Systems Analysis,3.5,Geographers
41-9041.00,Social Perceptiveness,3.5,Telemarketers
15-1241.00,Programming,3.5,Computer Network Architects
